userid,uniqueID,gender,age,consumption,shopping,occupation
234,S8734933,0,24,2,1,2
235,L9549177,0,19,3,1,2
236,E911653,0,19,3,2,2
237,Q757747,1,23,3,3,2
238,>6176475,0,25,3,3,1
239,W7827053,0,16,3,1,1
240,V8374549,0,18,1,1,1
241,X6091047,0,19,2,2,1
242,_9580835,1,22,1,2,1
243,M731915,1,16,2,3,1
244,M7846545,1,15,1,1,1
245,D8631201,1,23,3,2,1
246,G7195408,0,16,2,1,2
247,@8431724,1,17,2,1,1
248,T8566018,0,16,1,2,1
249,A8681967,1,23,1,2,2
250,T7427695,1,15,3,2,2
251,V8352869,1,17,2,3,1
252,=8730283,1,23,3,1,2
253,\9096431,0,16,1,1,1
254,K7191012,0,22,3,3,2
255,]7629827,1,19,3,2,2
256,X6313556,0,22,2,1,2
257,Y6175775,0,23,1,1,1
258,?7711473,0,16,1,2,1
259,\6339565,1,22,1,3,1
260,=8068651,0,24,1,1,2
261,G6996119,0,23,1,1,1
262,_8966141,1,23,1,2,1
263,T6398826,1,17,3,3,1
264,\9114865,1,21,2,2,1
265,_9440356,0,19,1,2,2
266,A7133628,0,19,1,1,2
267,?9111212,0,21,3,3,1
268,Z6039618,0,16,3,3,1
269,V9554076,0,21,2,3,2
270,W8681770,0,23,2,3,2
271,J8651568,1,15,3,2,1
272,<8556485,0,25,3,1,2
273,U9161816,1,21,3,1,1
274,\7822699,0,21,3,1,2
275,R8221418,0,22,2,2,1
276,R9167081,0,15,1,1,1
277,L8812944,1,16,1,2,1
278,Q944068,1,20,2,2,1
279,O6888196,1,20,3,3,2
280,E9183845,0,19,1,2,2
281,^7487259,0,16,2,1,1
282,_782743,1,18,3,1,1
283,@9484510,0,18,3,2,1
284,[7771771,1,20,3,1,1
285,F7470559,0,21,2,3,2
286,C7621523,1,18,3,1,1
287,>8066127,1,24,3,3,2
288,M7467060,1,16,3,3,1
289,^789577,1,17,1,1,2
290,H6377911,1,21,1,2,2
291,A9232800,1,24,3,2,2
292,@6427942,1,25,3,3,2
293,[8383821,0,25,2,3,1
294,R745546,1,25,3,2,2
295,Q7885001,0,22,1,1,2
296,]7365193,1,25,3,1,2
297,N7675147,0,25,1,2,2
298,?7467301,0,18,1,2,1
299,N8136163,0,18,2,3,1
300,Q7891888,1,23,2,1,2
301,I6582380,1,21,2,1,1
302,>648735,1,17,3,2,2
303,O6013594,1,25,3,3,2
304,Z8116995,0,21,1,1,2
305,B8521881,1,16,3,2,1
306,W9247818,0,17,3,1,2
307,U7572747,1,19,3,2,1
308,O6893050,0,16,2,2,1
309,G7961832,0,23,2,3,2
310,N8724164,1,23,1,1,2
