userid,gender,age,consumption level,shopping level, occupation level,ad1,ad2,ad3,ad4,ad5,CTR VALUE
234,0,21,3,1,1,0,0,0,0,0,0
235,1,17,3,2,2,0,0,0,1,1,2
236,1,16,1,1,2,1,0,0,1,1,3
237,0,24,2,3,1,0,0,1,0,0,1
238,0,19,1,2,1,0,1,0,1,0,2
239,0,16,1,1,1,0,1,0,1,0,2
240,0,25,1,1,2,1,0,1,0,0,2
241,0,21,3,1,1,0,0,0,1,1,2
242,0,17,2,2,1,1,0,1,1,0,3
243,0,19,1,1,2,0,0,0,0,0,0
244,1,22,3,2,1,0,0,1,0,1,2
245,1,15,2,3,1,1,0,1,0,1,3
246,1,16,3,2,1,1,0,0,0,0,1
247,0,20,1,3,1,1,0,1,1,0,3
248,0,19,3,3,2,1,1,1,1,0,4
249,0,19,1,1,2,0,0,0,1,0,1
250,1,15,1,2,1,1,0,1,1,1,4
251,1,21,1,2,1,0,0,1,0,0,1
252,1,18,3,2,1,0,1,0,1,1,3
253,1,21,3,2,2,0,1,1,1,1,4
254,0,15,1,1,2,0,1,0,0,0,1
255,0,19,2,2,2,0,0,0,1,1,2
256,1,17,3,3,1,1,0,0,0,0,1
257,0,23,3,2,2,0,0,1,0,0,1
258,1,19,3,3,2,1,1,1,0,1,4
259,1,15,1,1,1,1,1,0,1,0,3
260,0,17,2,2,2,1,0,0,0,1,2
261,1,25,1,2,2,0,1,0,0,1,2
262,0,25,3,1,2,0,1,0,1,1,3
263,1,23,3,2,2,0,1,1,1,0,3
264,0,24,3,2,2,1,0,0,0,0,1
265,1,19,1,3,2,0,0,1,1,0,2
266,1,24,2,1,1,0,0,1,0,1,2
267,1,15,3,1,2,0,1,1,0,1,3
268,1,16,1,2,2,1,1,1,1,0,4
269,1,19,1,3,1,0,1,1,0,0,2
270,0,17,2,1,1,1,1,0,1,0,3
271,1,21,3,2,1,1,1,1,1,0,4
272,0,25,1,3,1,1,0,0,0,1,2
273,1,23,3,1,1,1,1,0,0,1,3
274,1,22,2,1,2,1,1,0,0,1,3
275,0,23,3,2,2,0,0,0,0,0,0
276,0,21,1,1,2,1,1,0,0,0,2
277,0,18,3,3,1,0,1,0,1,1,3
278,1,20,3,1,2,1,0,0,0,0,1
279,0,23,1,2,1,0,0,0,0,1,1
280,0,21,1,3,2,1,1,0,1,1,4
281,1,16,1,2,1,1,1,1,0,1,4
282,0,22,3,3,2,1,1,1,0,0,3
283,1,17,1,1,2,0,0,1,1,1,3
284,0,23,3,1,1,1,0,0,1,0,2
285,1,25,1,3,2,0,0,1,0,1,2
286,0,24,2,3,1,1,1,1,1,0,4
287,0,16,1,2,1,1,1,0,0,1,3
288,0,25,1,2,1,0,0,1,1,1,3
289,0,15,1,3,2,1,1,1,0,1,4
290,0,21,2,1,1,0,1,0,1,0,2
291,0,17,1,1,1,0,0,0,1,0,1
292,1,16,1,1,1,0,0,1,0,1,2
293,0,17,3,1,2,1,1,0,0,1,3
294,1,22,1,3,1,0,1,1,0,1,3
295,0,20,1,1,1,0,0,0,0,1,1
